month,revenue
2016-09-01,279.69
2016-10-01,50941.90
2016-12-01,19.62
2017-01-01,134428.37
2017-02-01,276890.29
2017-03-01,419742.01
2017-04-01,399682.66
2017-05-01,578440.07
2017-06-01,496987.09
2017-07-01,576991.44
2017-08-01,656447.83
2017-09-01,712691.41
2017-10-01,760120.92
2017-11-01,1167091.17
2017-12-01,852684.44
2018-01-01,1097271.56
2018-02-01,978493.00
2018-03-01,1150389.34
2018-04-01,1154551.62
2018-05-01,1144762.11
2018-06-01,1020381.90
2018-07-01,1039704.51
2018-08-01,996973.51
2018-09-01,166.46
